Date,Temperature_C,Rainfall_mm,Humidity_percent
2026-08-01,31,2,68
2026-08-02,32,0,65
2026-08-03,33,0,62
2026-08-04,34,5,64
2026-08-05,32,12,75
2026-08-06,30,18,82
2026-08-07,29,25,88
2026-08-08,28,30,90
2026-08-09,30,8,78
2026-08-10,31,4,72
2026-08-11,33,0,66
2026-08-12,35,0,61
2026-08-13,34,3,63
2026-08-14,32,10,74
2026-08-15,31,20,84
2026-08-16,29,35,92
2026-08-17,28,28,89
2026-08-18,30,15,80
2026-08-19,32,5,71
2026-08-20,33,2,67
2026-08-21,34,0,60
2026-08-22,36,0,58
2026-08-23,35,4,62
2026-08-24,33,8,70
2026-08-25,31,18,83
2026-08-26,30,22,86
2026-08-27,29,30,91
2026-08-28,28,16,85
2026-08-29,30,6,76
2026-08-30,32,3,69
